Adelina
Rajna
Rakita
Ranislava
Ranka
Ranđija
Rastislava
Ratka
Ravijojla
Razumenka
Ristana
Roksa
Roksanda
Rosa
Rosanda
Rumena
Rumenka
Rusa
Rusmira
Ruzmarinka
Ruža
Ružica
Sandra
Sanela
Sanja
Sara
Sava
Saveta
Savetka
Savica
Savka
Sazdana
Sekana
Selena
Senija
Senka
Sevetka
Sibina
Sibinka
Silva
Silvija
Simana
Simeuna
Simka
Simona
Simonida
Sinđa
Sinđelija
Skorosava
Sladunka
Slavenka
Slavica
Slavka
Slavna
Slavojka
Slavujka
Slađana
Slađanka
Slobodanka
Slovenka
Smilja
Smiljana
Smiljka
Smoljana
Smoljka
Sneža
Snežana
Snježana
Sofija
Sofka
Soka
Solumija
Sonja
Sovija
Sovka
Spasa
Spasena
Spasenija
Spasenka
Spomenka
Srbijanka
Srbislava
Srebra
Srebrena
Srebrenka
Sretenka
Stajka
Staka
Stamena
Stamenka
Stana
Stanava
Stanača
Stanica
Stanija
Stanika
Stanimirka
Stanisava
Stanislava
Stanislavka
Stanka
Stanojka
Stanojla
Stanuša
Staša
Stefana
Stefanija
Stepanija
Stevana
Stevanija
Stevanka
Stevka
Stoisava
Stoja
Stojadinka
Stojana
Stojanka
Stojka
Stojna
Struja
Sunčanica
Sunčica
Suzana
Svetislava
Svetlana
Svjetlana
Tadeja
Tajana
Tamara
Tanasija
Tanja
Tankosa
Tankosava
Tara
Tatjana
Tea
Teodora
Teona
Tihana
Tihomirka
Tihoslava
Tijana
Timka
Tina
Tiosava
Todora
Tomana
Tomanija
Tomislava
Tomka
Trajanka
Trnjina
Ubavka
Ugrinja
Ugrinka
Una
Utva
Valentina
Valerija
Vanesa
Vanja
Varvara
Vasilija
Vasilisa
Vasiljka
Vasilka
Vaska
Vaskrsija
Veliborka
Velika
Velimirka
Velina
Velinka
Velisava
Velislava
Vera
Verica
Verka
Veroljupka
Veronika
Veroslava
Vesela
Veselina
Veselinka
Veselka
Veska
Vesna
Večerinka
Vida
Vidojka
Vidosava
Viktorija
Vilogorka
Vinka
Violeta
Vitka
Vitomirka
Vitosava
Višeslava
Višnja
Vladana
Vladanka
Vladimirka
Vladisava
Vladislava
Vladislavka
Vlajka
Vlasta
Vlastimirka
Vlatka
Voislava
Vojinka
Vojislava
Vojislavka
Vojka
Vojna
Vujadinka
Vujana
Vujka
Vuka
Vukadinka
Vukana
Vukena
Vukica
Vukmira
Vukomanka
Vukomirka
Vukosava
Vuksana
Vučica
Zaga
Zagorka
Zdravka
Zlata
Zlatana
Zlatanka
Zlatiborka
Zlatica
Zlatija
Zlatinka
Zlatka
Zlatomirka
Zora
Zoraida
Zorana
Zoranka
Zorica
Zorinka
Zorislava
Zorka
Zrinka
Zvezdana
Zvjezdana
Zvonka
Ćana
Ćanka
Ćerana
Ćirka
Ćuba
Čarna
Časlavka
Čedomirka
Đenadija
Đinka
Đokoslava
Đorđina
Đuka
Đurisava
Đurđa
Đurđevka
Đurđica
Đurđija
Đurđijana
Đurđina
Đurđinka
Šana
Šćepanija
Žaklina
Žanka
Žejana
Želimirka
Željana
Željka
Žitomirka
Živadinka
Živana
Živanka
Živka
Živodarka
Živojinka
Živomirka
Živoratka
Živoslava
Živoslavka
